GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU,scan_rate,num_process,dirty_time,num_pages_to_scan,sleep_millis
-618668.8,0.0,0.0,9412.6,244.6,54.249,19,1,1,3000,1
-618666.6666666666,0.0,0.0,9170.633333333333,470.03333333333336,35.6,9,1,1,1000,1
-618670.9333333333,0.0,0.0,9288.166666666666,378.53333333333336,44.96666666666667,13,1,1,3000,5
-618673.0666666667,0.0,0.0,9194.866666666667,463.1666666666667,35.2,9,1,1,3000,15
-618666.6666666666,0.0,0.0,8842.233333333334,818.2333333333333,28.133333333333333,6,1,1,1000,5
-618670.9333333333,0.0,0.0,8590.066666666668,1086.8,22.333333333333332,5,1,1,1000,10
-618758.4,0.0,0.0,8206.566666666668,1461.5333333333333,18.266666666666666,4,1,1,1000,15
-618668.8,0.0,0.0,9051.133333333333,615.5333333333333,32.36666666666667,7,1,1,2000,10
-618668.8,0.0,0.0,9227.5,467.96666666666664,38.29,9,1,1,2000,5
-618668.8,0.0,0.0,9297.5,369.23333333333335,46.169666666666664,13,1,1,2000,1
-618673.0666666667,0.0,0.0,9191.433333333332,466.26666666666665,38.63333333333333,11,1,1,3000,10
-618737.0666666667,0.0,0.0,8831.4,827.5,28.666666666666668,6,1,1,2000,15
